#ATNF Pulsar Catalogue
#Catalogue Version: 2.7.0
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;P1;F0;F1;DM;RM;W50;BINARY;DIST;ZZ;XX;YY;ASSOC;DISC.;PSR;NGLT;AGE;BSURF;EDOT;
;;(hms);(dms);(deg);(deg);(s);;(Hz);(s^-2);(cm^-3pc);(radm^-2);(ms);(type);(kpc);(kpc);(kpc);(kpc);;DATE;TYPE;;(Yr);(G);(ergs/s);
1;J0002+6216;00:02:58.1;+62:16:09.4;117.327;-0.074;0.115364;5.97e-15;8.668248;-4.484e-13;218.60;*;*;*;6.357;-0.008;5.648;11.418;GRS:4FGL_J0002.8+6217[aab+22],XRS:1XSPS_;2017;HE[wcp+18];*;3.06e+05;8.40e+11;1.53e+35;
2;J0006+1834;00:06:04.8;+18:34:59;108.172;-42.985;0.693748;2.10e-15;1.441446;-4.357e-15;11.40;-20.50;61.300;*;0.860;-0.586;0.598;8.696;*;1996;*;*;5.24e+06;1.22e+12;2.48e+32;
3;J0007+7303;00:07:01.7;+73:03:07.4;119.660;10.463;0.315873;3.60e-13;3.165827;-3.612e-12;*;*;*;*;1.400;0.254;1.196;9.181;GRS:4FGL_J0007.0+7303[aab+22],XRS:RX_J00;2009;NRAD[aab+22];1;1.39e+04;1.08e+13;4.51e+35;
4;J0011+08;00:11:34;+08:10;106.228;-53.407;2.552870;*;0.391716;*;24.90;-17.00;13.000;*;5.399;-4.335;3.090;9.399;*;2016;*;*;*;*;*;
5;J0012+5431;00:12:23.3;+54:31:40;117.231;-7.911;3.025301;1.28e-16;0.330546;-1.400e-17;131.30;*;*;*;5.427;-0.747;4.780;10.960;*;2023;RRAT[dcm+23];*;3.74e+08;6.30e+11;1.83e+29;
6;J0014+4746;00:14:17.7;+47:46:33.4;116.497;-14.631;1.240699;5.64e-16;0.805997;-3.667e-16;30.41;-15.56;88.700;*;1.776;-0.449;1.538;9.267;*;1978;*;*;3.48e+07;8.47e+11;1.17e+31;
7;J0021-0909;00:21:51.4;-09:09:58.7;100.291;-70.726;2.314131;1.04e-15;0.432128;-1.940e-16;25.20;-15.00;23.800;*;25.000;-23.599;8.119;9.974;*;2020;*;*;3.53e+07;1.57e+12;3.31e+30;
8;J0023+0923;00:23:16.8;+09:23:23.8;111.383;-52.849;0.003050;1.14e-20;327.847021;-1.228e-15;14.33;-5.60;0.200;ELL1;1.818;-1.449;1.022;8.900;GRS:4FGL_J0023.4+0920[aab+22],OPT:[bvr+1;2011;HE,HE[bbc+24];*;4.23e+09;1.89e+08;1.59e+34;
9;J0024-7204C;00:23:50.3;-72:04:31.5;305.923;-44.892;0.005757;-4.99e-20;173.708219;1.504e-15;24.59;27.30;0.664;*;4.520;-3.190;-2.593;6.621;GC:47Tuc(NGC104),XRS:[bgh+06];1990;*;*;*;*;*;
10;J0024-7204D;00:24:13.8;-72:04:43.8;305.881;-44.893;0.005358;-3.42e-21;186.651670;1.192e-16;24.74;26.00;0.303;*;4.520;-3.190;-2.594;6.623;GC:47Tuc(NGC104),XRS:[bgh+06];1991;*;*;*;*;*;
