#Catalogue Version: 2.6.3
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;F0;DM;BINARY;ASSOC;
;;(hms);(dms);(deg);(deg);(s);(Hz);(cm^-3pc);(type);;
1;J0002+6216;00:02:58.1;+62:16:09.4;117.327;-0.074;0.115364;8.668248;218.60;*;GRS:4FGL_J0002.8+6217[aab+22],XRS:1XSPS_;
2;J0006+1834;00:06:04.8;+18:34:59;108.172;-42.985;0.693748;1.441446;11.41;*;*;
3;J0007+7303;00:07:01.7;+73:03:07.4;119.660;10.463;0.315873;3.165827;*;*;GRS:4FGL_J0007.0+7303[aab+22],XRS:RX_J00;
4;J0011+08;00:11:34;+08:10;106.228;-53.407;2.552870;0.391716;24.90;*;*;
5;J0012+5431;00:12:23.3;+54:31:40;117.231;-7.911;3.025301;0.330546;131.30;*;*;
6;J0014+4746;00:14:17.7;+47:46:33.4;116.497;-14.631;1.240699;0.805997;30.41;*;*;
7;J0021-0909;00:21:51.4;-09:09:58.7;100.291;-70.726;2.314131;0.432128;25.20;*;*;
8;J0023+0923;00:23:16.8;+09:23:23.8;111.383;-52.849;0.003050;327.847021;14.33;BT;GRS:4FGL_J0023.4+0920[aab+22],OPT:[bvr+1;
9;J0024-7204C;00:23:50.3;-72:04:31.5;305.923;-44.892;0.005757;173.708219;24.59;*;GC:47Tuc(NGC104),XRS:[bgh+06];
10;J0024-7204D;00:24:13.8;-72:04:43.8;305.881;-44.893;0.005358;186.651670;24.74;*;GC:47Tuc(NGC104),XRS:[bgh+06];
11;J0024-7204E;00:24:11.1;-72:05:20.1;305.883;-44.883;0.003536;282.779107;24.24;DD;GC:47Tuc(NGC104),XRS:[bgh+06];
12;J0024-7204F;00:24:03.8;-72:04:42.8;305.899;-44.892;0.002624;381.158664;24.38;*;GC:47Tuc(NGC104),XRS:[bgh+06];
13;J0024-7204G;00:24:07.9;-72:04:39.7;305.891;-44.893;0.004040;247.501525;24.43;*;GC:47Tuc(NGC104),XRS:[bgh+06];
14;J0024-7204H;00:24:06.7;-72:04:06.8;305.896;-44.902;0.003210;311.493418;24.38;DD;GC:47Tuc(NGC104),XRS:[bgh+06];
15;J0024-7204I;00:24:07.9;-72:04:39.6;305.892;-44.893;0.003485;286.944700;24.43;ELL1;GC:47Tuc(NGC104),XRS:[bgh+06];
16;J0024-7204J;00:23:59.4;-72:03:58.7;305.909;-44.903;0.002101;476.046858;24.59;BTX;GC:47Tuc(NGC104),XRS:[bgh+06];
17;J0024-7204L;00:24:03.7;-72:04:56.9;305.898;-44.888;0.004346;230.087746;24.40;*;GC:47Tuc(NGC104),XRS:[bgh+06];
18;J0024-7204M;00:23:54.4;-72:05:30.7;305.913;-44.877;0.003677;271.987229;24.43;*;GC:47Tuc(NGC104),XRS:[bgh+06];
19;J0024-7204N;00:24:09.1;-72:04:28.8;305.890;-44.897;0.003054;327.444319;24.56;*;GC:47Tuc(NGC104),XRS:[bgh+06];
20;J0024-7204O;00:24:04.6;-72:04:53.7;305.897;-44.889;0.002643;378.308788;24.36;BTX;GC:47Tuc(NGC104),XRS:[bgh+06];
21;J0024-7204P;00:24:20;-72:04:10;305.872;-44.904;0.003643;274.497480;24.29;BT;GC:47Tuc(NGC104);
22;J0024-7204Q;00:24:16.4;-72:04:25.1;305.877;-44.899;0.004033;247.943237;24.28;ELL1;GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[rvh+1;
23;J0024-7204R;00:24:07.5;-72:04:50.3;305.892;-44.890;0.003480;287.318119;24.36;ELL1;GC:47Tuc(NGC104),XRS:[bgh+06];
24;J0024-7204S;00:24:03.9;-72:04:42.3;305.898;-44.892;0.002830;353.306209;24.38;ELL1;GC:47Tuc(NGC104),XRS:[bhc+17],OPT:[rvh+1;
25;J0024-7204T;00:24:08.5;-72:04:38.9;305.890;-44.894;0.007588;131.778699;24.42;ELL1;GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[cpf+1;
26;J0024-7204U;00:24:09.8;-72:03:59.6;305.890;-44.905;0.004343;230.264772;24.34;ELL1;GC:47Tuc(NGC104),XRS:[bgh+06],OPT:[cpf+1;
27;J0024-7204V;00:24:05.6;-72:04:52.6;305.895;-44.889;0.004810;207.892963;24.11;BTX;GC:47Tuc(NGC104);
28;J0024-7204W;00:24:06.0;-72:04:49.0;305.894;-44.890;0.002352;425.107796;24.37;BTX;GC:47Tuc(NGC104),XRS:[bgh+06];
29;J0024-7204X;00:24:22.3;-72:01:17.4;305.877;-44.952;0.004772;209.576695;24.54;ELL1;GC:47Tuc(NGC104);
30;J0024-7204Y;00:24:01.4;-72:04:41.8;305.903;-44.891;0.002197;455.237178;24.48;ELL1;GC:47Tuc(NGC104),OPT:[cpf+15];
31;J0024-7204Z;00:24:06.0;-72:05:01.4;305.894;-44.887;0.004554;219.565606;24.45;*;GC:47Tuc(NGC104),XRS:[bhc+17];
32;J0024-7204aa;00:24:05.6;-72:04:52.6;305.895;-44.889;0.001840;543.478261;24.92;*;GC:47Tuc(NGC104),XRS:[bhc+17];
33;J0024-7204ab;00:24:08.1;-72:04:47.6;305.891;-44.891;0.003705;269.931798;24.33;*;GC:47Tuc(NGC104),XRS:[bhc+17];
34;J0024-7204ac;00:24:05.6;-72:04:52.6;305.895;-44.889;0.002740;364.963504;24.46;BT;GC:47Tuc(NGC104);
35;J0024-7204ad;00:24:05.6;-72:04:52.6;305.895;-44.889;0.003740;267.379679;24.41;BT;GC:47Tuc(NGC104);
36;J0026+6320;00:26:50.5;+63:20:00.8;120.176;0.593;0.318358;3.141120;245.06;*;*;
37;J0026-1955;00:26:36;-19:55:59;83.291;-80.829;1.306150;0.765609;20.87;*;*;
